id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
16930,audi,Audi A6,grey,07/2019,2019,53890,250,340,Automatic,Petrol,"9,5 l/100 km",215 g/km,39600.0,sport 55TFSI S line*Allr.Lenk*MATRIX*20
97580,maserati,Maserati Levante,black,02/2020,2020,62499,316,430,Automatic,Petrol,"11,8 l/100 km",268 g/km,70890.0,3.0 SQ4 Gran Sport AWD*Aut*H/K*LUFT*Klap
78140,hyundai,Hyundai i10,white,01/2014,2014,6500,51,69,Manual,Petrol,"4,7 l/100 km",110 g/km,110000.0,1.1 Classic
60989,ford,Ford B-Max,brown,07/2013,2013,9900,66,90,Manual,Petrol,6 l/100 km,142 g/km,70000.0,Trend | Zahnriemen neu | Garantie
52920,fiat,Fiat 500,black,11/2010,2010,6490,55,75,Manual,Diesel,"4,2 l/100 km",110 g/km,123907.0,500 Sport 1.3 Multijet 16V DPF Sportpaket
62264,ford,Ford Grand C-Max,silver,08/2014,2014,12960,74,101,Manual,Petrol,"5,1 l/100 km",121 g/km,119000.0,Business Edition *7 Sitze*
29177,bmw,BMW X3,grey,09/2011,2011,14999,135,184,Manual,Diesel,"5,6 l/100 km",148 g/km,168014.0,xDrive20d  LEDER PANORAMA 1 HAND
25868,bmw,BMW 525,black,04/2006,2006,3500,120,163,Manual,Diesel,"6,7 l/100 km",179 g/km,239680.0,525d Edition Fleet
923,alfa-romeo,Alfa Romeo Stelvio,white,04/2020,2020,58990,375,510,Automatic,Petrol,"9,8 l/100 km",227 g/km,48896.0,Quadrifoglio Q4*ACC*Pano*Assistenz*H&K*
23120,bentley,Bentley,black,03/2018,2018,159900,522,710,Automatic,Petrol,"15,7 l/100 km",358 g/km,33724.0,Continental Supersports 22 OF 24
67431,ford,Ford Transit,red,04/2018,2018,39990,77,105,Manual,Diesel,"6,5 l/100 km",169 g/km,70000.0,Kombi 350 L3 H2 Trend *Rollstuhllift*
53717,fiat,Fiat Scudo,black,10/2016,2016,15900,94,128,Manual,Diesel,7 l/100 km,- (g/km),72000.0,Scudo L2 (5-Si.) teilverglast
57123,fiat,Fiat 500e,red,06/2023,2023,31490,87,118,Automatic,Electric,,320 km Reichweite,10.0,"Cabrio RED 42 kWh (Kurzzeit*) Winter, Style"
3319,audi,Audi A3,grey,02/2007,2007,4999,103,140,Manual,Diesel,"5,7 l/100 km",154 g/km,257368.0,2.0 TDI Ambition XENON SITZHEIZUNG PDC KLIMA
13619,audi,Audi A6,green,04/2017,2017,22990,140,190,Manual,Diesel,"4,4 l/100 km",114 g/km,106000.0,2.0 TDI ultra Matrix/Navi/Schaltgetriebe/SHZ
79228,hyundai,Hyundai i10,grey,09/2017,2017,9690,64,87,Manual,Petrol,"4,9 l/100 km",114 g/km,52004.0,1.2 Style
70108,ford,Ford Mondeo,silver,02/2019,2019,17620,121,165,Manual,Petrol,"6,4 l/100 km",145 g/km,106456.0,"Turnier 1.5 EcoBoost Trend, AHK, Navi"
95347,land-rover,Land Rover Discovery,grey,08/2019,2019,42999,177,241,Automatic,Diesel,"7,4 l/100 km",194 g/km,79200.0,5 SD4 Black-P./1-Hd./LED/AHK/HuD/ACC
57578,fiat,Fiat 500X,white,02/2023,2023,29989,96,131,Automatic,Petrol,"5,9 l/100 km",134 g/km,10.0,MY22 PIU Dolcevita Hybrid 1.5 AUTOMATIK
12682,audi,Audi A6,white,05/2016,2016,34990,240,326,Automatic,Diesel,"6,2 l/100 km",164 g/km,142200.0,3.0 TDI Competition+S-Sitze+20Zoll+Matrix+Air
80794,hyundai,Hyundai i30,grey,10/2019,2019,15900,85,116,Manual,Diesel,"4,3 l/100 km",112 g/km,93051.0,1.6 CRDi YES! Plus+LED+Navi+Kamera+1.Hand
71949,ford,Ford Mondeo,silver,05/2020,2020,23990,140,190,Automatic,Diesel,"4,9 l/100 km",129 g/km,81021.0,Mondeo Turnier 2.0 EcoBlue Aut. Business Edit.
46663,citroen,Citroen C5 Aircross,black,02/2021,2021,31980,133,181,Automatic,Hybrid,"1,4 l/100 km",31 g/km,12291.0,#6 C5AIR FEEL+ PT225HYB
95063,land-rover,Land Rover Range Rover Velar,white,06/2018,2018,54900,221,300,Automatic,Diesel,"6,6 l/100 km",173 g/km,44900.0,3.0d SE
86697,jeep,Jeep Grand Cherokee,black,08/2020,2020,84800,522,710,Automatic,Petrol,"13,5 l/100 km",315 g/km,68358.0,Trackhawk 6.2 V8 Supercharged LAGUNA Leder rot
78049,hyundai,Hyundai iX35,black,04/2014,2014,14850,122,166,Manual,Petrol,"8,3 l/100 km",193 g/km,71778.0,"2.0 4 x 4 ""Style""  Leder/4xSitzhzg/Xenon/SHD/AHK"
49791,dacia,Dacia Sandero,white,10/2020,2020,13980,74,101,Manual,CNG,"5,3 kg/100 km",- (g/km),23000.0,Stepway 1.0 TCE LPG AHK 8-Fach
99279,mazda,Mazda 6,black,10/2018,2018,22450,121,165,Manual,Petrol,"6,6 l/100 km",150 g/km,44583.0,2.0 SKYACTIVE Exclusive-Line
1043,alfa-romeo,Alfa Romeo Tonale,grey,10/2022,2022,42490,96,131,Automatic,Hybrid,"6,2 l/100 km",140 g/km,100.0,1.5 Speciale 48V-Hybrid 15kW +Leder/LED/Navi/Hands
65916,ford,Ford Focus,black,10/2017,2017,37800,184,250,Manual,Petrol,"6,8 l/100 km",159 g/km,106500.0,Lim. ST*AGA*SCHALE*SCHECKHEFT*
9209,audi,Audi S3,black,05/2014,2014,21399,221,300,Manual,Petrol,7 l/100 km,- (g/km),158000.0,A3
24903,bmw,BMW 525,black,10/2004,2004,4590,141,192,Manual,Petrol,"9,4 l/100 km",- (g/km),245000.0,525i Schiebedach
42123,bmw,BMW 220,blue,09/2022,2022,43280,135,184,Automatic,Petrol,"6,4 l/100 km",145 g/km,11490.0,"i Coupe M Sport 19"" ACC Alarm HiFi ParkAssist"
12481,audi,Audi A4,silver,08/2016,2016,23990,140,190,Automatic,Petrol,"5,4 l/100 km",122 g/km,52070.0,Lim. basis ultra
34402,bmw,BMW 220,blue,01/2016,2016,21700,140,190,Automatic,Diesel,"4,4 l/100 km",116 g/km,81000.0,220d Cabrio Aut. Sport Line
27717,bmw,BMW 635,black,04/2009,2009,26999,210,286,Automatic,Diesel,"7,2 l/100 km",190 g/km,68400.0,d Cabrio (E64)
26632,bmw,BMW 320,grey,07/2008,2008,3500,130,177,Automatic,Diesel,"5,6 l/100 km",146 g/km,385000.0,320d
84682,jaguar,Jaguar I-Pace,grey,11/2018,2018,34391,294,400,Automatic,Electric,,0 g/km,157225.0,EV400 HSE/AWD/Tech-LED/E-Sitz/Meridian/Ka
27176,bmw,BMW 116,silver,08/2008,2008,5900,90,122,Manual,Petrol,"6,1 l/100 km",143 g/km,208625.0,Baureihe 1 Lim. 116i
5047,audi,Audi A3,black,11/2010,2010,14500,118,160,Automatic,Petrol,"6,7 l/100 km",156 g/km,121500.0,Cabriolet S line Sportpaket+/S-Tronic/Navi
83843,hyundai,Hyundai i30,silver,03/2023,2023,22990,88,120,Manual,Petrol,"4,9 l/100 km",111 g/km,10.0,cw 1.0 T-GDI AAC SHZ Kamera Android/Apple
11199,audi,Audi A4,white,09/2015,2015,10996,140,190,Automatic,Diesel,"5,1 l/100 km",135 g/km,289853.0,Ambiente quattro Avant (8K5)
34652,bmw,BMW X1,grey,11/2016,2016,24950,140,190,Automatic,Diesel,,0 g/km,77825.0,X-Drive20d M-Paket Exterieur & Interieur AHK
18607,audi,Audi RS3,blue,04/2020,2020,52450,294,400,Automatic,Petrol,"9,6 l/100 km",216 g/km,36663.0,2.5TFSI quattro *Matrix*B&O*Pano*
55117,fiat,Fiat Doblo,white,01/2019,2019,11480,70,95,Manual,Diesel,5 l/100 km,133 g/km,138456.0,Klima Tüv Service Neu GarantieSortimoEuro6
9558,audi,Audi A1,white,03/2014,2014,12990,77,105,Manual,Diesel,"3,8 l/100 km",101 g/km,121420.0,"SB S LINE SPORTPAKET BI-XENON NAVI 18""ALU PDC"
51201,daihatsu,Daihatsu Sirion,black,10/2006,2006,4600,64,87,Manual,Petrol,"6,6 l/100 km",124 g/km,95000.0,Allrad 4x4Sport 07/ TÜV NEU/ org.95 tkm/ 1.Hand
83469,hyundai,Hyundai i20,green,04/2023,2023,19980,74,101,Manual,Petrol,"5,3 l/100 km",120 g/km,100.0,1.0 T-GDI LED SITZHEIZUNG KLIMA 5 JAHRE
52117,ferrari,Ferrari California,red,02/2009,2009,119890,338,460,Automatic,Unknown,,- (g/km),34000.0,DEUTSCHES FAHRZEUG+U-FREI+SCHECKHEFT
7031,audi,Audi A3,silver,11/2012,2012,13450,90,122,Manual,Petrol,"5,3 l/100 km",122 g/km,40553.0,"A3 Sportback 1.4 TFSI Ambiente, Navi, LED, PDC"
26894,bmw,BMW 318,black,10/2008,2008,6900,105,143,Automatic,Petrol,"6,6 l/100 km",- (g/km),199000.0,318i Aut. Facelift
26940,bmw,BMW 120,black,10/2008,2008,9900,125,170,Manual,Petrol,,- (g/km),124000.0,120i Cabrio
64420,ford,Ford EcoSport,black,02/2016,2016,11990,92,125,Manual,Petrol,"5,3 l/100 km",125 g/km,95850.0,1.0 EcoBoost S     Winterpaket + PDC + ALU      PA
